req_ed_level,type,value
High School,Job Postings,5078350
Vocational/Technical,Job Postings,101532
Associate,Job Postings,533260
Bachelor's,Job Postings,5223424
Master's,Job Postings,597484
Doctoral/Professional,Job Postings,287076
High School,Educational Attainment,72284390
Vocational/Technical,Educational Attainment,53496165
Associate,Educational Attainment,22641464
Bachelor's,Educational Attainment,56229303
Master's,Educational Attainment,25252514
Doctoral/Professional,Educational Attainment,9929190
